"ID";"RegioS";"Perioden";"WoningvoorraadBeginPeriode_1";"WoningvoorraadToevoegingTotaal_2";"WoningvoorraadToevoegingDoorNieuwbouw_3";"WoningvoorraadToevoegingAnderszins_4";"WoningvoorraadSaldoVermeerdering_14";"WoningvoorraadAdministratieveCorrectie_15";"WoningvoorraadEindePeriode_16"
"556";"PV21  ";"2004KW02";"269565";"304";"276";"28";"86";"0";"269651"
"557";"PV21  ";"2004KW03";"269651";"485";"448";"37";"222";"0";"269873"
"558";"PV21  ";"2004KW04";"269873";"2072";"2002";"70";"1852";"-225";"271500"
"559";"PV21  ";"2004JJ00";"269378";"3159";"3010";"149";"2347";"-225";"271500"
"560";"PV21  ";"2005KW01";"271500";"376";"350";"26";"236";"0";"271736"
"561";"PV21  ";"2005KW02";"271736";"488";"464";"24";"325";"0";"272061"
"562";"PV21  ";"2005KW03";"272061";"513";"447";"66";"352";"0";"272413"
"563";"PV21  ";"2005KW04";"272413";"1163";"1126";"37";"977";"5";"273395"
"564";"PV21  ";"2005JJ00";"271500";"2540";"2387";"153";"1890";"5";"273395"
"565";"PV21  ";"2006KW01";"273395";"513";"498";"15";"458";"0";"273853"
"566";"PV21  ";"2006KW02";"273853";"435";"404";"31";"306";"0";"274159"
"567";"PV21  ";"2006KW03";"274159";"504";"482";"22";"431";"0";"274590"
"568";"PV21  ";"2006KW04";"274590";"1410";"1348";"62";"1075";"-444";"275221"
"569";"PV21  ";"2006JJ00";"273395";"2862";"2732";"130";"2270";"-444";"275221"
"570";"PV21  ";"2007KW01";"275221";"375";"335";"40";"250";"0";"275471"
"571";"PV21  ";"2007KW02";"275471";"736";"695";"41";"502";"0";"275973"
"572";"PV21  ";"2007KW03";"275973";"499";"478";"21";"460";"0";"276433"
"573";"PV21  ";"2007KW04";"276433";"1300";"1264";"36";"1054";"-124";"277363"
"574";"PV21  ";"2007JJ00";"275221";"2910";"2772";"138";"2266";"-124";"277363"
"575";"PV21  ";"2008KW01";"277959";"531";"505";"26";"369";"0";"278328"
"576";"PV21  ";"2008KW02";"278328";"548";"515";"33";"471";"0";"278799"
"577";"PV21  ";"2008KW03";"278799";"932";"901";"31";"843";"0";"279642"
"578";"PV21  ";"2008KW04";"279642";"977";"944";"33";"819";"-105";"280356"
"579";"PV21  ";"2008JJ00";"277959";"2988";"2865";"123";"2502";"-105";"280356"
"580";"PV21  ";"2009KW01";"280356";"389";"369";"20";"204";"0";"280560"
"581";"PV21  ";"2009KW02";"280560";"478";"418";"60";"378";"0";"280938"
"582";"PV21  ";"2009KW03";"280938";"282";"266";"16";"187";"0";"281125"
"583";"PV21  ";"2009KW04";"281125";"920";"887";"33";"627";"-120";"281632"
"584";"PV21  ";"2009JJ00";"280356";"2069";"1940";"129";"1396";"-120";"281632"
"585";"PV21  ";"2010KW01";"281632";"159";"140";"19";"102";"0";"281734"
"586";"PV21  ";"2010KW02";"281734";"228";"162";"66";"163";"0";"281897"
"587";"PV21  ";"2010KW03";"281897";"305";"291";"14";"192";"0";"282089"
"588";"PV21  ";"2010KW04";"282089";"1034";"974";"60";"741";"-141";"282689"
"589";"PV21  ";"2010JJ00";"281632";"1726";"1567";"159";"1198";"-141";"282689"
"590";"PV21  ";"2011KW01";"282689";"197";"190";"7";"94";"0";"282783"
"591";"PV21  ";"2011KW02";"282783";"342";"298";"44";"151";"0";"282934"
"592";"PV21  ";"2011KW03";"282934";"302";"258";"44";"160";"0";"283094"
"593";"PV21  ";"2011KW04";"283094";"894";"769";"125";"841";"98";"284033"
"594";"PV21  ";"2011JJ00";"282689";"1735";"1515";"220";"1246";"98";"284033"
"595";"PV22  ";"1995KW01";"179505";"638";"632";"6";"533";"0";"180038"
"596";"PV22  ";"1995KW02";"180038";"673";"663";"10";"645";"0";"180683"
"597";"PV22  ";"1995KW03";"180683";"604";"591";"13";"459";"0";"181142"
"598";"PV22  ";"1995KW04";"181142";"1236";"1203";"33";"1174";"-50";"182266"
"599";"PV22  ";"1995JJ00";"179505";"3151";"3089";"62";"2811";"-50";"182266"
"600";"PV22  ";"1996KW01";"182266";"260";"258";"2";"229";"0";"182495"
"601";"PV22  ";"1996KW02";"182495";"711";"703";"8";"584";"0";"183079"
"602";"PV22  ";"1996KW03";"183079";"975";"968";"7";"863";"0";"183942"
"603";"PV22  ";"1996KW04";"183942";"1082";"1065";"17";"1026";"-50";"184918"
"604";"PV22  ";"1996JJ00";"182266";"3028";"2994";"34";"2702";"-50";"184918"
"605";"PV22  ";"1997KW01";"184923";"459";"436";"23";"385";"0";"185308"
"606";"PV22  ";"1997KW02";"185308";"956";"953";"3";"926";"0";"186234"
"607";"PV22  ";"1997KW03";"186234";"635";"633";"2";"549";"0";"186783"
"608";"PV22  ";"1997KW04";"186783";"1142";"1130";"12";"1070";"2";"187855"
"609";"PV22  ";"1997JJ00";"184923";"3192";"3152";"40";"2930";"2";"187855"
"610";"PV22  ";"1998KW01";"187838";"297";"290";"7";"228";"0";"188066"
"611";"PV22  ";"1998KW02";"188066";"378";"374";"4";"357";"0";"188423"
"612";"PV22  ";"1998KW03";"188423";"494";"487";"7";"438";"0";"188861"
"613";"PV22  ";"1998KW04";"188861";"963";"950";"13";"640";"150";"189651"
"614";"PV22  ";"1998JJ00";"187838";"2132";"2101";"31";"1663";"150";"189651"
"615";"PV22  ";"1999KW01";"189651";"626";"622";"4";"603";"0";"190254"
"616";"PV22  ";"1999KW02";"190254";"600";"598";"2";"537";"0";"190791"
"617";"PV22  ";"1999KW03";"190791";"331";"328";"3";"319";"0";"191110"
"618";"PV22  ";"1999KW04";"191110";"1084";"1065";"19";"749";"-234";"191625"
"619";"PV22  ";"1999JJ00";"189651";"2641";"2613";"28";"2208";"-234";"191625"
"620";"PV22  ";"2000KW01";"191625";"249";"248";"1";"145";"0";"191770"
"621";"PV22  ";"2000KW02";"191770";"508";"499";"9";"431";"0";"192201"
"622";"PV22  ";"2000KW03";"192201";"366";"365";"1";"338";"0";"192539"
"623";"PV22  ";"2000KW04";"192539";"939";"931";"8";"745";"8";"193292"
"624";"PV22  ";"2000JJ00";"191625";"2062";"2043";"19";"1659";"8";"193292"
"625";"PV22  ";"2001KW01";"193292";"434";"433";"1";"110";"0";"193402"
"626";"PV22  ";"2001KW02";"193402";"431";"427";"4";"236";"0";"193638"
"627";"PV22  ";"2001KW03";"193638";"497";"489";"8";"415";"0";"194053"
"628";"PV22  ";"2001KW04";"194053";"630";"625";"5";"469";"-114";"194408"
"629";"PV22  ";"2001JJ00";"193292";"1992";"1974";"18";"1230";"-114";"194408"
"630";"PV22  ";"2002KW01";"194408";"165";"162";"3";"111";"0";"194519"
"631";"PV22  ";"2002KW02";"194519";"196";"196";"0";"157";"0";"194676"
"632";"PV22  ";"2002KW03";"194676";"224";"214";"10";"193";"0";"194869"
"633";"PV22  ";"2002KW04";"194869";"1747";"1736";"11";"1385";"-163";"196091"
"634";"PV22  ";"2002JJ00";"194408";"2332";"2308";"24";"1846";"-163";"196091"
"635";"PV22  ";"2003KW01";"196091";"155";"155";"0";"13";"0";"196104"
"636";"PV22  ";"2003KW02";"196104";"279";"277";"2";"247";"0";"196351"
"637";"PV22  ";"2003KW03";"196351";"312";"311";"1";"258";"0";"196609"
"638";"PV22  ";"2003KW04";"196609";"1086";"986";"100";"984";"-166";"197427"
"639";"PV22  ";"2003JJ00";"196091";"1832";"1729";"103";"1502";"-166";"197427"
"640";"PV22  ";"2004KW01";"197427";"326";"318";"8";"235";"0";"197662"
"641";"PV22  ";"2004KW02";"197662";"266";"259";"7";"238";"0";"197900"
"642";"PV22  ";"2004KW03";"197900";"749";"746";"3";"683";"0";"198583"
"643";"PV22  ";"2004KW04";"198583";"913";"870";"43";"619";"-126";"199076"
"644";"PV22  ";"2004JJ00";"197427";"2254";"2193";"61";"1775";"-126";"199076"
"645";"PV22  ";"2005KW01";"199076";"256";"228";"28";"165";"0";"199241"
"646";"PV22  ";"2005KW02";"199241";"512";"502";"10";"472";"0";"199713"
"647";"PV22  ";"2005KW03";"199713";"287";"283";"4";"241";"0";"199954"
"648";"PV22  ";"2005KW04";"199954";"1067";"1064";"3";"969";"-194";"200729"
"649";"PV22  ";"2005JJ00";"199076";"2122";"2077";"45";"1847";"-194";"200729"
"650";"PV22  ";"2006KW01";"200729";"383";"376";"7";"189";"0";"200918"
"651";"PV22  ";"2006KW02";"200918";"348";"342";"6";"337";"0";"201255"
"652";"PV22  ";"2006KW03";"201255";"542";"531";"11";"429";"0";"201684"
"653";"PV22  ";"2006KW04";"201684";"1053";"1017";"36";"986";"-71";"202599"
"654";"PV22  ";"2006JJ00";"200729";"2326";"2266";"60";"1941";"-71";"202599"
"655";"PV22  ";"2007KW01";"202599";"341";"341";"0";"119";"0";"202718"
"656";"PV22  ";"2007KW02";"202718";"581";"566";"15";"563";"0";"203281"
"657";"PV22  ";"2007KW03";"203281";"462";"446";"16";"418";"0";"203699"
"658";"PV22  ";"2007KW04";"203699";"1450";"1440";"10";"1268";"-203";"204764"
"659";"PV22  ";"2007JJ00";"202599";"2834";"2793";"41";"2368";"-203";"204764"
"660";"PV22  ";"2008KW01";"204866";"290";"289";"1";"207";"0";"205073"
"661";"PV22  ";"2008KW02";"205073";"286";"284";"2";"244";"0";"205317"
"662";"PV22  ";"2008KW03";"205317";"534";"532";"2";"441";"0";"205758"
"663";"PV22  ";"2008KW04";"205758";"914";"901";"13";"769";"-196";"206331"
"664";"PV22  ";"2008JJ00";"204866";"2024";"2006";"18";"1661";"-196";"206331"
"665";"PV22  ";"2009KW01";"206331";"212";"200";"12";"200";"0";"206531"
"666";"PV22  ";"2009KW02";"206531";"326";"326";"0";"296";"0";"206827"
"667";"PV22  ";"2009KW03";"206827";"364";"364";"0";"315";"0";"207142"
"668";"PV22  ";"2009KW04";"207142";"936";"933";"3";"844";"-99";"207887"
"669";"PV22  ";"2009JJ00";"206331";"1838";"1823";"15";"1655";"-99";"207887"
"670";"PV22  ";"2010KW01";"207887";"112";"110";"2";"75";"0";"207962"
"671";"PV22  ";"2010KW02";"207962";"72";"70";"2";"56";"0";"208018"
"672";"PV22  ";"2010KW03";"208018";"167";"163";"4";"147";"0";"208165"
"673";"PV22  ";"2010KW04";"208165";"651";"644";"7";"518";"-221";"208462"
"674";"PV22  ";"2010JJ00";"207887";"1002";"987";"15";"796";"-221";"208462"
"675";"PV22  ";"2011KW01";"208462";"122";"121";"1";"113";"0";"208575"
"676";"PV22  ";"2011KW02";"208575";"120";"116";"4";"92";"0";"208667"
"677";"PV22  ";"2011KW03";"208667";"152";"151";"1";"138";"0";"208805"
"678";"PV22  ";"2011KW04";"208805";"395";"387";"8";"146";"-40";"208912"
"679";"PV22  ";"2011JJ00";"208462";"789";"775";"14";"489";"-40";"208911"
"680";"PV23  ";"1995KW01";"394763";"849";"831";"18";"669";"0";"395432"
"681";"PV23  ";"1995KW02";"395432";"1301";"1283";"18";"1132";"0";"396564"
"682";"PV23  ";"1995KW03";"396564";"2078";"2057";"21";"2014";"0";"398578"
"683";"PV23  ";"1995KW04";"398578";"3001";"2957";"44";"2751";"-42";"401287"
"684";"PV23  ";"1995JJ00";"394763";"7229";"7128";"101";"6566";"-42";"401287"
"685";"PV23  ";"1996KW01";"401287";"621";"610";"11";"572";"0";"401859"
"686";"PV23  ";"1996KW02";"401859";"1607";"1587";"20";"1373";"0";"403232"
"687";"PV23  ";"1996KW03";"403232";"1854";"1803";"51";"1436";"0";"404668"
"688";"PV23  ";"1996KW04";"404668";"3134";"3037";"97";"2759";"-117";"407310"
"689";"PV23  ";"1996JJ00";"401287";"7216";"7037";"179";"6140";"-117";"407310"
"690";"PV23  ";"1997KW01";"407305";"757";"733";"24";"690";"0";"407995"
"691";"PV23  ";"1997KW02";"407995";"1546";"1503";"43";"1424";"0";"409419"
"692";"PV23  ";"1997KW03";"409419";"1636";"1602";"34";"1563";"0";"410982"
"693";"PV23  ";"1997KW04";"410982";"3528";"3350";"178";"2954";"-1";"413935"
"694";"PV23  ";"1997JJ00";"407305";"7467";"7188";"279";"6631";"-1";"413935"
"695";"PV23  ";"1998KW01";"413935";"816";"799";"17";"771";"0";"414706"
"696";"PV23  ";"1998KW02";"414706";"1172";"1121";"51";"1057";"0";"415763"
"697";"PV23  ";"1998KW03";"415763";"1265";"1253";"12";"1129";"0";"416892"
"698";"PV23  ";"1998KW04";"416892";"3388";"3329";"59";"2993";"240";"420125"
"699";"PV23  ";"1998JJ00";"413935";"6641";"6502";"139";"5950";"240";"420125"
"700";"PV23  ";"1999KW01";"420125";"934";"870";"64";"676";"0";"420801"
"701";"PV23  ";"1999KW02";"420801";"1101";"1061";"40";"897";"0";"421698"
"702";"PV23  ";"1999KW03";"421698";"938";"923";"15";"822";"0";"422520"
"703";"PV23  ";"1999KW04";"422520";"3183";"3105";"78";"2848";"-424";"424944"
"704";"PV23  ";"1999JJ00";"420125";"6156";"5959";"197";"5243";"-424";"424944"
"705";"PV23  ";"2000KW01";"424969";"567";"510";"57";"366";"0";"425335"
"706";"PV23  ";"2000KW02";"425335";"653";"637";"16";"553";"0";"425888"
"707";"PV23  ";"2000KW03";"425888";"1284";"1232";"52";"1133";"0";"427021"
"708";"PV23  ";"2000KW04";"427021";"1958";"1928";"30";"1644";"-42";"428623"
"709";"PV23  ";"2000JJ00";"424969";"4462";"4307";"155";"3696";"-42";"428623"
"710";"PV23  ";"2001KW01";"428623";"860";"830";"30";"676";"0";"429299"
"711";"PV23  ";"2001KW02";"429299";"674";"658";"16";"559";"0";"429858"
"712";"PV23  ";"2001KW03";"429858";"1097";"1086";"11";"1017";"0";"430875"
"713";"PV23  ";"2001KW04";"430875";"2533";"2428";"105";"1950";"-388";"432437"
"714";"PV23  ";"2001JJ00";"428623";"5164";"5002";"162";"4202";"-388";"432437"
"715";"PV23  ";"2002KW01";"432437";"569";"561";"8";"460";"0";"432897"
"716";"PV23  ";"2002KW02";"432897";"619";"572";"47";"562";"0";"433459"
"717";"PV23  ";"2002KW03";"433459";"1009";"1000";"9";"871";"0";"434330"
"718";"PV23  ";"2002KW04";"434330";"1731";"1678";"53";"767";"440";"435537"
"719";"PV23  ";"2002JJ00";"432437";"3928";"3811";"117";"2660";"440";"435537"
"720";"PV23  ";"2003KW01";"435537";"400";"387";"13";"217";"0";"435754"
"721";"PV23  ";"2003KW02";"435754";"714";"694";"20";"541";"0";"436295"
"722";"PV23  ";"2003KW03";"436295";"1313";"1272";"41";"1003";"0";"437298"
"723";"PV23  ";"2003KW04";"437298";"2402";"2321";"81";"1967";"-694";"438571"
"724";"PV23  ";"2003JJ00";"435537";"4829";"4674";"155";"3728";"-694";"438571"
