"ID";"RegioS";"Perioden";"PrijsindexVerkoopprijzen_1";"OntwikkelingTOVVoorgaandePeriode_2";"OntwikkelingTOVEenJaarEerder_3";"VerkochteWoningen_4";"OntwikkelingTOVVoorgaandePeriode_5";"OntwikkelingTOVEenJaarEerder_6";"GemiddeldeVerkoopprijs_7";"TotaleWaardeVerkoopprijzen_8"
"1858";"PV29  ";"2008KW02";"113.5";"-0.7";"3.2";"1176";"10.4";"-6.1";"203834";"240"
"1859";"PV29  ";"2008KW03";"114.5";"0.9";"2";"1183";"0.6";"-7";"205083";"243"
"1860";"PV29  ";"2008KW04";"113.8";"-0.6";"1.7";"1186";"0.3";"-18";"211432";"251"
"1861";"PV29  ";"2008JJ00";"114";"2.9";"2.9";"4610";"-10.2";"-10.2";"206965";"954"
"1862";"PV29  ";"2009KW01";"114.4";"0.6";"0.1";"664";"-44";"-37.7";"204491";"136"
"1863";"PV29  ";"2009KW02";"111.6";"-2.4";"-1.7";"744";"12";"-36.7";"193295";"144"
"1864";"PV29  ";"2009KW03";"113.9";"2.1";"-0.5";"862";"15.9";"-27.1";"194109";"167"
"1865";"PV29  ";"2009KW04";"110";"-3.5";"-3.3";"989";"14.7";"-16.6";"195687";"194"
"1866";"PV29  ";"2009JJ00";"112.5";"-1.3";"-1.3";"3259";"-29.3";"-29.3";"196518";"640"
"1867";"PV29  ";"2010KW01";"111";"0.9";"-3";"706";"-28.6";"6.3";"200800";"142"
"1868";"PV29  ";"2010KW02";"109.9";"-1";"-1.6";"812";"15";"9.1";"195286";"159"
"1869";"PV29  ";"2010KW03";"110.6";"0.7";"-2.9";"807";"-0.6";"-6.4";"198954";"161"
"1870";"PV29  ";"2010KW04";"109.2";"-1.3";"-0.7";"929";"15.1";"-6.1";"196672";"183"
"1871";"PV29  ";"2010JJ00";"110.2";"-2.1";"-2.1";"3254";"-0.2";"-0.2";"197788";"644"
"1872";"PV29  ";"2011KW01";"109.1";"-0.1";"-1.7";"742";"-20.1";"5.1";"199456";"148"
"1873";"PV29  ";"2011KW02";"109.6";"0.5";"-0.2";"841";"13.3";"3.6";"201110";"169"
"1874";"PV29  ";"2011KW03";"109.4";"-0.3";"-1.1";"792";"-5.8";"-1.9";"197962";"157"
"1875";"PV29  ";"2011KW04";"108.2";"-1.1";"-0.9";"936";"18.2";"0.8";"193914";"182"
"1876";"PV29  ";"2011JJ00";"109.1";"-1";"-1";"3311";"1.8";"1.8";"197952";"655"
"1877";"PV29  ";"2012KW01";"105.6";"-2.4";"-3.2";"631";"-32.6";"-15";"200328";"126"
"1878";"PV29  ";"2012KW02";"103.7";"-1.7";"-5.4";"1083";"71.6";"28.8";"188054";"204"
"1879";"PV29  ";"2012KW03";"101.7";"-1.9";"-7";"662";"-38.9";"-16.4";"175449";"116"
"1880";"PV29  ";"2012KW04";"102.6";"0.8";"-5.2";"1016";"53.5";"8.5";"190894";"194"
"1881";"PV29  ";"2012JJ00";"103.4";"-5.2";"-5.2";"3392";"2.4";"2.4";"188728";"640"
"1882";"PV29  ";"2013KW01";"101.3";"-1.3";"-4.1";"571";"-43.8";"-9.5";"192349";"110"
"1883";"PV29  ";"2013KW02";"100";"-1.2";"-3.6";"752";"31.7";"-30.6";"174771";"131"
"1884";"PV29  ";"2013KW03";"100.8";"0.8";"-0.9";"804";"6.9";"21.5";"191159";"154"
"1885";"PV29  ";"2013KW04";"100.3";"-0.4";"-2.2";"1066";"32.6";"4.9";"180360";"192"
"1886";"PV29  ";"2013JJ00";"100.6";"-2.7";"-2.7";"3193";"-5.9";"-5.9";"183907";"587"
"1887";"PV29  ";"2014KW01";"99.9";"-0.4";"-1.3";"784";"-26.5";"37.3";"182955";"143"
"1888";"PV29  ";"2014KW02";"99.7";"-0.2";"-0.3";"879";"12.1";"16.9";"190114";"167"
"1889";"PV29  ";"2014KW03";"99.5";"-0.3";"-1.3";"1021";"16.2";"27";"185010";"189"
"1890";"PV29  ";"2014KW04";"99.3";"-0.1";"-1";"1314";"28.7";"23.3";"188111";"247"
"1891";"PV29  ";"2014JJ00";"99.6";"-1";"-1";"3998";"25.2";"25.2";"186748";"747"
"1892";"PV29  ";"2015KW01";"100.1";"0.7";"0.2";"802";"-39";"2.3";"188910";"152"
"1893";"PV29  ";"2015KW02";"101.1";"1";"1.4";"1010";"25.9";"14.9";"194651";"197"
"1894";"PV29  ";"2015KW03";"98.8";"-2.3";"-0.7";"1168";"15.6";"14.4";"195054";"228"
"1895";"PV29  ";"2015KW04";"100";"1.3";"0.7";"1287";"10.2";"-2.1";"194010";"250"
"1896";"PV29  ";"2015JJ00";"100";"0.4";"0.4";"4267";"6.7";"6.7";"193489";"826"
"1897";"PV29  ";"2016KW01";"101.2";"1.1";"1.1";"1054";"-18.1";"31.4";"192004";"202"
"1898";"PV29  ";"2016KW02";"101.9";"0.7";"0.8";"1163";"10.3";"15.1";"196310";"228"
"1899";"PV29  ";"2016KW03";"103";"1.1";"4.2";"1404";"20.7";"20.2";"205406";"288"
"1900";"PV29  ";"2016KW04";"103.8";"0.8";"3.8";"1485";"5.8";"15.4";"211233";"314"
"1901";"PV29  ";"2016JJ00";"102.4";"2.4";"2.4";"5106";"19.7";"19.7";"202262";"1033"
"1902";"PV29  ";"2017KW01";"103.1";"-0.7";"1.9";"1355";"-8.8";"28.6";"211153";"286"
"1903";"PV29  ";"2017KW02";"104.9";"1.8";"3";"1434";"5.8";"23.3";"212856";"305"
"1904";"PV29  ";"2017KW03";"105.7";"0.8";"2.7";"1478";"3.1";"5.3";"210351";"311"
"1905";"PV29  ";"2017KW04";"107.7";"1.9";"3.7";"1730";"17.1";"16.5";"218948";"379"
"1906";"PV29  ";"2017JJ00";"105.3";"2.8";"2.8";"5997";"17.5";"17.5";"213611";"1281"
"1907";"PV29  ";"2018KW01";"107.5";"-0.2";"4.2";"1318";"-23.8";"-2.7";"211404";"279"
"1908";"PV29  ";"2018KW02";"109.5";"1.9";"4.4";"1365";"3.6";"-4.8";"215715";"294"
"1909";"PV29  ";"2018KW03";"112";"2.3";"5.9";"1554";"13.8";"5.1";"222897";"346"
"1910";"PV29  ";"2018KW04";"113.7";"1.6";"5.6";"1590";"2.3";"-8.1";"231230";"368"
"1911";"PV29  ";"2018JJ00";"110.7";"5.1";"5.1";"5827";"-2.8";"-2.8";"220889";"1287"
"1912";"PV29  ";"2019KW01";"116.5";"2.4";"8.4";"1237";"-22.2";"-6.1";"240026";"297"
"1913";"PV29  ";"2019KW02";"118.3";"1.6";"8.1";"1379";"11.5";"1";"238754";"329"
"1914";"PV29  ";"2019KW03";"120.2";"1.6";"7.4";"1500";"8.8";"-3.5";"250929";"376"
"1915";"PV29  ";"2019KW04";"121.5";"1.1";"6.8";"1617";"7.8";"1.7";"241533";"391"
"1916";"PV29  ";"2019JJ00";"119.1";"7.7";"7.7";"5733";"-1.6";"-1.6";"242998";"1393"
"1917";"PV29  ";"2020KW01";"124.5";"2.5";"6.9";"1423";"-12";"15";"253875";"361"
"1918";"PV29  ";"2020KW02";"126.6";"1.7";"7";"1419";"-0.3";"2.9";"253653";"360"
"1919";"PV29  ";"2020KW03";"130.2";"2.8";"8.3";"1663";"17.2";"10.9";"261648";"435"
"1920";"PV30  ";"1995KW01";"41.2";;;"4722";;;"95617";"452"
"1921";"PV30  ";"1995KW02";"41.5";"0.8";;"5753";"21.8";;"97759";"562"
"1922";"PV30  ";"1995KW03";"43.1";"3.8";;"6013";"4.5";;"102627";"617"
"1923";"PV30  ";"1995KW04";"43.5";"1";;"7014";"16.6";;"102942";"722"
"1924";"PV30  ";"1995JJ00";"42.3";;;"23502";;;"100121";"2353"
"1925";"PV30  ";"1996KW01";"45.3";"4.2";"10";"5098";"-27.3";"8";"106053";"541"
"1926";"PV30  ";"1996KW02";"46.5";"2.7";"12.1";"6591";"29.3";"14.6";"106861";"704"
"1927";"PV30  ";"1996KW03";"48.5";"4.1";"12.5";"6822";"3.5";"13.5";"113968";"777"
"1928";"PV30  ";"1996KW04";"49.8";"2.7";"14.5";"7424";"8.8";"5.8";"115821";"860"
"1929";"PV30  ";"1996JJ00";"47.5";"12.3";"12.3";"25935";"10.4";"10.4";"111137";"2882"
"1930";"PV30  ";"1997KW01";"51.9";"4.2";"14.4";"4948";"-33.4";"-2.9";"119204";"590"
"1931";"PV30  ";"1997KW02";"52.7";"1.7";"13.4";"7007";"41.6";"6.3";"120374";"843"
"1932";"PV30  ";"1997KW03";"54.3";"2.9";"12";"7668";"9.4";"12.4";"123672";"948"
"1933";"PV30  ";"1997KW04";"55.8";"2.8";"12.1";"7883";"2.8";"6.2";"127789";"1007"
"1934";"PV30  ";"1997JJ00";"53.7";"13";"13";"27506";"6.1";"6.1";"123208";"3389"
"1935";"PV30  ";"1998KW01";"57.7";"3.3";"11.2";"5359";"-32";"8.3";"130909";"702"
"1936";"PV30  ";"1998KW02";"58.4";"1.4";"10.8";"6844";"27.7";"-2.3";"131885";"903"
"1937";"PV30  ";"1998KW03";"60.2";"3";"10.8";"7790";"13.8";"1.6";"137992";"1075"
"1938";"PV30  ";"1998KW04";"62.3";"3.4";"11.6";"8344";"7.1";"5.8";"139871";"1167"
"1939";"PV30  ";"1998JJ00";"59.6";"11.1";"11.1";"28337";"3";"3";"135731";"3846"
"1940";"PV30  ";"1999KW01";"64.2";"3.1";"11.3";"6142";"-26.4";"14.6";"143004";"878"
"1941";"PV30  ";"1999KW02";"67";"4.4";"14.7";"7342";"19.5";"7.3";"152063";"1116"
"1942";"PV30  ";"1999KW03";"70.5";"5.2";"17.1";"8098";"10.3";"4";"160993";"1304"
"1943";"PV30  ";"1999KW04";"73.2";"3.9";"17.7";"8358";"3.2";"0.2";"167446";"1400"
"1944";"PV30  ";"1999JJ00";"68.7";"15.3";"15.3";"29940";"5.7";"5.7";"156914";"4698"
"1945";"PV30  ";"2000KW01";"77.3";"5.5";"20.4";"5877";"-29.7";"-4.3";"173061";"1017"
"1946";"PV30  ";"2000KW02";"80.1";"3.7";"19.5";"7053";"20";"-3.9";"179553";"1266"
"1947";"PV30  ";"2000KW03";"83.6";"4.4";"18.6";"6878";"-2.5";"-15.1";"190736";"1312"
"1948";"PV30  ";"2000KW04";"85.6";"2.4";"16.9";"8194";"19.1";"-2";"196137";"1607"
"1949";"PV30  ";"2000JJ00";"81.7";"18.8";"18.8";"28002";"-6.5";"-6.5";"185790";"5202"
"1950";"PV30  ";"2001KW01";"88.2";"3";"14.1";"5531";"-32.5";"-5.9";"198156";"1096"
"1951";"PV30  ";"2001KW02";"90.2";"2.3";"12.6";"7084";"28.1";"0.4";"202800";"1437"
"1952";"PV30  ";"2001KW03";"93.6";"3.8";"12";"7231";"2.1";"5.1";"212480";"1536"
"1953";"PV30  ";"2001KW04";"94.5";"1";"10.4";"8541";"18.1";"4.2";"215349";"1839"
"1954";"PV30  ";"2001JJ00";"91.6";"12.2";"12.2";"28387";"1.4";"1.4";"208137";"5908"
"1955";"PV30  ";"2002KW01";"96.5";"2";"9.4";"6488";"-24";"17.3";"216329";"1404"
"1956";"PV30  ";"2002KW02";"97.5";"1.1";"8.1";"6955";"7.2";"-1.8";"220434";"1533"
"1957";"PV30  ";"2002KW03";"99.3";"1.9";"6.1";"7311";"5.1";"1.1";"226678";"1657"
"1958";"PV30  ";"2002KW04";"100.1";"0.8";"5.9";"7499";"2.6";"-12.2";"225110";"1688"
"1959";"PV30  ";"2002JJ00";"98.4";"7.3";"7.3";"28253";"-0.5";"-0.5";"222348";"6282"
"1960";"PV30  ";"2003KW01";"100.5";"0.4";"4.2";"5572";"-25.7";"-14.1";"224748";"1252"
"1961";"PV30  ";"2003KW02";"102.2";"1.7";"4.8";"6624";"18.9";"-4.8";"226270";"1499"
"1962";"PV30  ";"2003KW03";"102.8";"0.6";"3.5";"7157";"8";"-2.1";"231292";"1655"
"1963";"PV30  ";"2003KW04";"104";"1.2";"3.9";"8057";"12.6";"7.4";"230725";"1859"
"1964";"PV30  ";"2003JJ00";"102.4";"4.1";"4.1";"27410";"-3";"-3";"228582";"6265"
"1965";"PV30  ";"2004KW01";"105.1";"1.1";"4.6";"5394";"-33.1";"-3.2";"230423";"1243"
"1966";"PV30  ";"2004KW02";"106";"0.9";"3.8";"6755";"25.2";"2";"231964";"1567"
"1967";"PV30  ";"2004KW03";"107.4";"1.3";"4.5";"7253";"7.4";"1.3";"239548";"1737"
"1968";"PV30  ";"2004KW04";"107.7";"0.2";"3.6";"7465";"2.9";"-7.3";"236220";"1763"
"1969";"PV30  ";"2004JJ00";"106.6";"4.1";"4.1";"26867";"-2";"-2";"234885";"6311"
"1970";"PV30  ";"2005KW01";"108.7";"0.9";"3.4";"5840";"-21.8";"8.3";"236624";"1382"
"1971";"PV30  ";"2005KW02";"110.3";"1.4";"4";"7205";"23.4";"6.7";"242909";"1750"
"1972";"PV30  ";"2005KW03";"111.6";"1.2";"3.9";"7887";"9.5";"8.7";"247799";"1954"
"1973";"PV30  ";"2005KW04";"112.3";"0.6";"4.2";"8739";"10.8";"17.1";"246614";"2155"
"1974";"PV30  ";"2005JJ00";"110.7";"3.9";"3.9";"29671";"10.4";"10.4";"244063";"7242"
"1975";"PV30  ";"2006KW01";"113.8";"1.3";"4.7";"6950";"-20.5";"19";"251679";"1749"
"1976";"PV30  ";"2006KW02";"115.4";"1.4";"4.6";"7974";"14.7";"10.7";"257121";"2050"
"1977";"PV30  ";"2006KW03";"116.4";"0.9";"4.3";"7730";"-3.1";"-2";"262388";"2028"
"1978";"PV30  ";"2006KW04";"117.3";"0.8";"4.5";"7904";"2.3";"-9.6";"262826";"2077"
"1979";"PV30  ";"2006JJ00";"115.7";"4.5";"4.5";"30558";"3";"3";"258691";"7905"
"1980";"PV30  ";"2007KW01";"118.6";"1.1";"4.2";"6727";"-14.9";"-3.2";"268167";"1804"
"1981";"PV30  ";"2007KW02";"119.7";"1";"3.8";"7433";"10.5";"-6.8";"270677";"2012"
"1982";"PV30  ";"2007KW03";"121.2";"1.2";"4.2";"7296";"-1.8";"-5.6";"274051";"1999"
"1983";"PV30  ";"2007KW04";"121.6";"0.3";"3.7";"7838";"7.4";"-0.8";"272370";"2135"
"1984";"PV30  ";"2007JJ00";"120.3";"4";"4";"29294";"-4.1";"-4.1";"271394";"7950"
"1985";"PV30  ";"2008KW01";"124";"2";"4.6";"5764";"-26.5";"-14.3";"277007";"1597"
"1986";"PV30  ";"2008KW02";"123.2";"-0.6";"2.9";"7011";"21.6";"-5.7";"275124";"1929"
"1987";"PV30  ";"2008KW03";"124.6";"1.2";"2.8";"6963";"-0.7";"-4.6";"282436";"1967"
"1988";"PV30  ";"2008KW04";"123.4";"-1";"1.5";"6285";"-9.7";"-19.8";"276814";"1740"
"1989";"PV30  ";"2008JJ00";"123.8";"2.9";"2.9";"26023";"-11.2";"-11.2";"277906";"7232"
"1990";"PV30  ";"2009KW01";"123.2";"-0.2";"-0.6";"3796";"-39.6";"-34.1";"276096";"1048"
"1991";"PV30  ";"2009KW02";"120.5";"-2.2";"-2.2";"4110";"8.3";"-41.4";"258793";"1064"
"1992";"PV30  ";"2009KW03";"118.4";"-1.8";"-5";"4451";"8.3";"-36.1";"251972";"1122"
"1993";"PV30  ";"2009KW04";"116.5";"-1.6";"-5.6";"4830";"8.5";"-23.2";"252080";"1218"
"1994";"PV30  ";"2009JJ00";"119.7";"-3.4";"-3.4";"17187";"-34";"-34";"258962";"4451"
"1995";"PV30  ";"2010KW01";"117.9";"1.2";"-4.4";"3778";"-21.8";"-0.5";"253821";"959"
"1996";"PV30  ";"2010KW02";"117.3";"-0.5";"-2.7";"4524";"19.7";"10.1";"254201";"1150"
"1997";"PV30  ";"2010KW03";"116.6";"-0.6";"-1.5";"4429";"-2.1";"-0.5";"259967";"1151"
"1998";"PV30  ";"2010KW04";"115.5";"-1";"-0.9";"4599";"3.8";"-4.8";"251749";"1158"
"1999";"PV30  ";"2010JJ00";"116.8";"-2.4";"-2.4";"17330";"0.8";"0.8";"254941";"4418"
"2000";"PV30  ";"2011KW01";"113.9";"-1.4";"-3.4";"4028";"-12.4";"6.6";"250054";"1007"
"2001";"PV30  ";"2011KW02";"114.3";"0.4";"-2.6";"3954";"-1.8";"-12.6";"259616";"1027"
"2002";"PV30  ";"2011KW03";"113";"-1.1";"-3.1";"4267";"7.9";"-3.7";"257239";"1098"
"2003";"PV30  ";"2011KW04";"111.1";"-1.7";"-3.8";"4448";"4.2";"-3.3";"244034";"1085"
"2004";"PV30  ";"2011JJ00";"113.1";"-3.2";"-3.2";"16697";"-3.7";"-3.7";"252551";"4217"
"2005";"PV30  ";"2012KW01";"108.9";"-2";"-4.4";"3391";"-23.8";"-15.8";"245685";"833"
"2006";"PV30  ";"2012KW02";"107.1";"-1.6";"-6.3";"4959";"46.2";"25.4";"248767";"1234"
"2007";"PV30  ";"2012KW03";"102.5";"-4.4";"-9.4";"3034";"-38.8";"-28.9";"230293";"699"
"2008";"PV30  ";"2012KW04";"101.5";"-0.9";"-8.6";"5199";"71.4";"16.9";"233999";"1217"
"2009";"PV30  ";"2012JJ00";"105";"-7.2";"-7.2";"16583";"-0.7";"-0.7";"240127";"3982"
"2010";"PV30  ";"2013KW01";"98.8";"-2.7";"-9.2";"3220";"-38.1";"-5";"223808";"721"
"2011";"PV30  ";"2013KW02";"97.1";"-1.7";"-9.4";"3182";"-1.2";"-35.8";"220912";"703"
"2012";"PV30  ";"2013KW03";"97";"-0.1";"-5.3";"4046";"27.2";"33.4";"219660";"889"
"2013";"PV30  ";"2013KW04";"96.7";"-0.3";"-4.8";"5235";"29.4";"0.7";"220480";"1154"
"2014";"PV30  ";"2013JJ00";"97.4";"-7.3";"-7.3";"15683";"-5.4";"-5.4";"221039";"3467"
"2015";"PV30  ";"2014KW01";"96.8";"0.2";"-2";"4279";"-18.3";"32.9";"222180";"951"
"2016";"PV30  ";"2014KW02";"97.6";"0.8";"0.5";"4929";"15.2";"54.9";"226823";"1118"
"2017";"PV30  ";"2014KW03";"98.5";"0.9";"1.6";"5513";"11.8";"36.3";"230338";"1270"
"2018";"PV30  ";"2014KW04";"98.2";"-0.3";"1.6";"7565";"37.2";"44.5";"231569";"1752"
"2019";"PV30  ";"2014JJ00";"97.8";"0.4";"0.4";"22286";"42.1";"42.1";"228412";"5090"
"2020";"PV30  ";"2015KW01";"98.8";"0.6";"2.1";"4966";"-34.4";"16.1";"227152";"1128"
"2021";"PV30  ";"2015KW02";"99.5";"0.7";"2";"5817";"17.1";"18";"234994";"1367"
"2022";"PV30  ";"2015KW03";"100.6";"1.1";"2.2";"7257";"24.8";"31.6";"240411";"1745"
"2023";"PV30  ";"2015KW04";"101";"0.4";"2.9";"7264";"0.1";"-4";"237294";"1724"
"2024";"PV30  ";"2015JJ00";"100";"2.3";"2.3";"25304";"13.5";"13.5";"235669";"5963"
"2025";"PV30  ";"2016KW01";"102.3";"1.3";"3.6";"5927";"-18.4";"19.4";"240273";"1424"
"2026";"PV30  ";"2016KW02";"102.8";"0.4";"3.3";"7181";"21.2";"23.4";"245865";"1766"
"2027";"PV30  ";"2016KW03";"104.7";"1.8";"4";"8682";"20.9";"19.6";"252005";"2188"
"2028";"PV30  ";"2016KW04";"105.7";"1";"4.6";"8972";"3.3";"23.5";"253552";"2275"
"2029";"PV30  ";"2016JJ00";"103.9";"3.9";"3.9";"30762";"21.6";"21.6";"248763";"7652"
"2030";"PV30  ";"2017KW01";"107.4";"1.6";"4.9";"8307";"-7.4";"40.2";"261371";"2171"
"2031";"PV30  ";"2017KW02";"109.4";"1.8";"6.4";"8942";"7.6";"24.5";"268079";"2397"
"2032";"PV30  ";"2017KW03";"111.1";"1.6";"6.1";"9077";"1.5";"4.6";"269381";"2445"
"2033";"PV30  ";"2017KW04";"112.9";"1.6";"6.8";"10003";"10.2";"11.5";"274047";"2741"
"2034";"PV30  ";"2017JJ00";"110.2";"6.1";"6.1";"36329";"18.1";"18.1";"268514";"9755"
"2035";"PV30  ";"2018KW01";"115.8";"2.6";"7.8";"7983";"-20.2";"-3.9";"283182";"2261"
"2036";"PV30  ";"2018KW02";"117.2";"1.2";"7.2";"8377";"4.9";"-6.3";"288978";"2421"
"2037";"PV30  ";"2018KW03";"119.9";"2.3";"8";"8501";"1.5";"-6.3";"291311";"2476"
"2038";"PV30  ";"2018KW04";"121.4";"1.3";"7.6";"8735";"2.8";"-12.7";"298124";"2604"
"2039";"PV30  ";"2018JJ00";"118.6";"7.6";"7.6";"33596";"-7.5";"-7.5";"290569";"9762"
"2040";"PV30  ";"2019KW01";"123.7";"1.8";"6.8";"7073";"-19";"-11.4";"304799";"2156"
"2041";"PV30  ";"2019KW02";"125.5";"1.5";"7.1";"7872";"11.3";"-6";"306840";"2415"
"2042";"PV30  ";"2019KW03";"126.9";"1.2";"5.8";"8499";"8";"0";"310549";"2639"
"2043";"PV30  ";"2019KW04";"128.5";"1.2";"5.8";"9044";"6.4";"3.5";"317214";"2869"
"2044";"PV30  ";"2019JJ00";"126.1";"6.4";"6.4";"32488";"-3.3";"-3.3";"310254";"10080"
"2045";"PV30  ";"2020KW01";"131.6";"2.4";"6.4";"7899";"-12.7";"11.7";"324302";"2562"
"2046";"PV30  ";"2020KW02";"134.3";"2";"7";"8719";"10.4";"10.8";"335523";"2925"
"2047";"PV30  ";"2020KW03";"137";"2";"7.9";"9666";"10.9";"13.7";"339500";"3282"
"2048";"PV31  ";"1995KW01";"52";;;"1835";;;"91584";"168"
"2049";"PV31  ";"1995KW02";"52.9";"1.7";;"2335";"27.2";;"93176";"218"
"2050";"PV31  ";"1995KW03";"53.9";"1.9";;"2395";"2.6";;"95239";"228"
"2051";"PV31  ";"1995KW04";"55.2";"2.3";;"2931";"22.4";;"96166";"282"
"2052";"PV31  ";"1995JJ00";"53.5";;;"9496";;;"94311";"896"
"2053";"PV31  ";"1996KW01";"57";"3.3";"9.5";"2065";"-29.5";"12.5";"98164";"203"
"2054";"PV31  ";"1996KW02";"57.8";"1.6";"9.4";"2473";"19.8";"5.9";"103303";"255"
"2055";"PV31  ";"1996KW03";"59.9";"3.6";"11.2";"3055";"23.5";"27.6";"103444";"316"
"2056";"PV31  ";"1996KW04";"61.4";"2.5";"11.4";"3393";"11.1";"15.8";"105548";"358"
"2057";"PV31  ";"1996JJ00";"59";"10.4";"10.4";"10986";"15.7";"15.7";"103070";"1132"
"2058";"PV31  ";"1997KW01";"63.9";"4";"12.2";"2268";"-33.2";"9.8";"108572";"246"
"2059";"PV31  ";"1997KW02";"64.9";"1.6";"12.2";"2951";"30.1";"19.3";"110029";"325"
"2060";"PV31  ";"1997KW03";"66.9";"3.1";"11.7";"3149";"6.7";"3.1";"116153";"366"
"2061";"PV31  ";"1997KW04";"68.7";"2.6";"11.8";"3487";"10.7";"2.8";"117008";"408"
"2062";"PV31  ";"1997JJ00";"66.1";"12";"12";"11855";"7.9";"7.9";"113429";"1345"
"2063";"PV31  ";"1998KW01";"70.1";"2.1";"9.8";"2322";"-33.4";"2.4";"117404";"273"
"2064";"PV31  ";"1998KW02";"71.2";"1.6";"9.7";"3052";"31.4";"3.4";"119183";"364"
"2065";"PV31  ";"1998KW03";"73.7";"3.5";"10.1";"3440";"12.7";"9.2";"123629";"425"
"2066";"PV31  ";"1998KW04";"75.5";"2.4";"10";"3382";"-1.7";"-3";"126755";"429"
"2067";"PV31  ";"1998JJ00";"72.6";"9.9";"9.9";"12196";"2.9";"2.9";"122198";"1490"
"2068";"PV31  ";"1999KW01";"78.5";"3.9";"11.9";"2450";"-27.6";"5.5";"131173";"321"
"2069";"PV31  ";"1999KW02";"81.6";"3.9";"14.5";"3273";"33.6";"7.2";"134565";"440"
"2070";"PV31  ";"1999KW03";"84.4";"3.5";"14.4";"3642";"11.3";"5.9";"143910";"524"
"2071";"PV31  ";"1999KW04";"86.9";"3";"15.1";"3878";"6.5";"14.7";"144246";"559"
"2072";"PV31  ";"1999JJ00";"82.8";"14";"14";"13243";"8.6";"8.6";"139342";"1845"
"2073";"PV31  ";"2000KW01";"91.2";"4.9";"16.2";"2457";"-36.6";"0.3";"149272";"367"
"2074";"PV31  ";"2000KW02";"92.9";"1.9";"13.9";"2903";"18.2";"-11.3";"151897";"441"
"2075";"PV31  ";"2000KW03";"96.4";"3.7";"14.2";"2972";"2.4";"-18.4";"162657";"483"
"2076";"PV31  ";"2000KW04";"97.4";"1.1";"12.1";"3538";"19";"-8.8";"163092";"577"
"2077";"PV31  ";"2000JJ00";"94.5";"14.1";"14.1";"11870";"-10.4";"-10.4";"157384";"1868"
"2078";"PV31  ";"2001KW01";"97.4";"0";"6.8";"2294";"-35.2";"-6.6";"159205";"365"
"2079";"PV31  ";"2001KW02";"99.6";"2.2";"7.1";"3160";"37.8";"8.9";"167000";"528"
"2080";"PV31  ";"2001KW03";"101.9";"2.3";"5.7";"3439";"8.8";"15.7";"164582";"566"
"2081";"PV31  ";"2001KW04";"101.5";"-0.4";"4.2";"3869";"12.5";"9.4";"166099";"643"
"2082";"PV31  ";"2001JJ00";"100.1";"5.9";"5.9";"12762";"7.5";"7.5";"164674";"2102"
"2083";"PV31  ";"2002KW01";"103.4";"1.9";"6.1";"2824";"-27";"23.1";"171252";"484"
"2084";"PV31  ";"2002KW02";"104.4";"1";"4.9";"3057";"8.3";"-3.3";"171097";"523"
"2085";"PV31  ";"2002KW03";"106.4";"1.9";"4.5";"3462";"13.2";"0.7";"180476";"625"
"2086";"PV31  ";"2002KW04";"106.2";"-0.2";"4.7";"3541";"2.3";"-8.5";"175389";"621"
"2087";"PV31  ";"2002JJ00";"105.1";"5";"5";"12884";"1";"1";"174831";"2253"
"2088";"PV31  ";"2003KW01";"105.8";"-0.4";"2.4";"2580";"-27.1";"-8.6";"177510";"458"
"2089";"PV31  ";"2003KW02";"107.2";"1.3";"2.7";"3043";"17.9";"-0.5";"177182";"539"
"2090";"PV31  ";"2003KW03";"107.5";"0.2";"1";"3450";"13.4";"-0.3";"177767";"613"
"2091";"PV31  ";"2003KW04";"108.3";"0.8";"1.9";"3703";"7.3";"4.6";"180207";"667"
"2092";"PV31  ";"2003JJ00";"107.2";"2";"2";"12776";"-0.8";"-0.8";"178283";"2278"
"2093";"PV31  ";"2004KW01";"109.5";"1.1";"3.4";"2334";"-37";"-9.5";"179101";"418"
"2094";"PV31  ";"2004KW02";"111";"1.4";"3.6";"3042";"30.3";"0";"184580";"561"
"2095";"PV31  ";"2004KW03";"112.6";"1.4";"4.8";"3291";"8.2";"-4.6";"186987";"615"
"2096";"PV31  ";"2004KW04";"113";"0.4";"4.4";"3690";"12.1";"-0.4";"179756";"663"
"2097";"PV31  ";"2004JJ00";"111.6";"4.1";"4.1";"12357";"-3.3";"-3.3";"182746";"2258"
"2098";"PV31  ";"2005KW01";"111.7";"-1.2";"2.1";"2573";"-30.3";"10.2";"185927";"478"
"2099";"PV31  ";"2005KW02";"113.1";"1.2";"1.8";"3189";"23.9";"4.8";"187975";"599"
"2100";"PV31  ";"2005KW03";"114.5";"1.2";"1.6";"3483";"9.2";"5.8";"194038";"676"
"2101";"PV31  ";"2005KW04";"115.1";"0.5";"1.8";"3649";"4.8";"-1.1";"194414";"709"
"2102";"PV31  ";"2005JJ00";"113.6";"1.8";"1.8";"12894";"4.3";"4.3";"191026";"2463"
"2103";"PV31  ";"2006KW01";"114.8";"-0.2";"2.8";"2762";"-24.3";"7.3";"196966";"544"
"2104";"PV31  ";"2006KW02";"117.6";"2.4";"4";"3282";"18.8";"2.9";"203393";"668"
"2105";"PV31  ";"2006KW03";"118.1";"0.4";"3.1";"3287";"0.2";"-5.6";"202208";"665"
"2106";"PV31  ";"2006KW04";"117.8";"-0.2";"2.4";"3481";"5.9";"-4.6";"201337";"701"
